呐 吶
遡 溯
㢼 彆
烟 煙
㘃 喏
㗒 唉
㗑 唄
㬺 幐
㞸 歲
㝨 寰
蚫 鮑
脋 脅
䯎 骭
㭍 柒
礀 澗
磵 澗
㒬 尪
鬝 鬜
騨 驒
靱 靭
靔 天
靏 鶴
靎 鶴
靍 鶴
靌 寶
閠 閏
鑁 鍐
鐤 鼎
鐡 鐵
鎽 鋒
鉱 礦
鈫 鈙
鈩 鑪
釻 釚
込 迂
蝄 蛧
繋 繫
賘 贓
読 讀
訚 誾
袇 袡
蘷 夔
蘕 纄
䄽 秈
蘒 萩
舮 艫
腗 脾
肻 肯
羪 養
罖 羅
缼 缺
繤 纂
縆 緪
絋 纊
紣 綷
簱 籏
筺 筐
祘 算
祍 衽
礶 罐
磗 磚
碵 磌
硲 峪
癳 瘰
簔 蓑
疂 疊
渏 漪
瓇 瑈
琑 瑣
獣 獸
獇 羌
犠 犧
煕 熙
灜 瀛
灐 瀅
瀞 淨
潈 潀
溊 波
溄 漨
湺 涎
沣 灃
竗 妙
㑠 豎
鱰 鱪
殱 殲
閖 閑
閗 鬥
篐 箍
荢 芓
栃 櫔
枬 栴
枦 櫨
焼 燒
焑 菸
朂 勖
曻 昇
摉 搜
擝 掹
掶 捷
辪 辥
徺 僥
徔 從
彁 歌
弐 貳
甼 町
幤 幣
嶥 嶡
凼 氹
刾 刺
剦 閹
屷 會
屶 會
尭 堯
尦 尥
寉 鶴
宑 井
孞 信
夑 燮
壥 廛
壌 壤
蔶 簀
萡 箔
萞 蓖
菷 帚
堓 岸
埗 埠
圦 塊
嚺 嚃
嚑 壎
欎 鬱
欍 桕
竃 灶
啳 顴
桛 梇
峕 時
桞 柳
枠 椊
僲 僊
傦 愲
仭 仞
敩 斅
斆 斅
侫 佞
仒 冰
澝 濘
敾 繕
瑸 璸
澙 潟
慐 愩
鿟 鿠
鿌 涼
龺 卓
聓 婿
㑓 俊
㐶 似
燷 燣
塁 壘
䲶 鳳
䯻 髻
䩗 霸
䩎 鹼
䧫 壕
䦉 肆
䤣 鋝
䡱 驅
䡄 軌
倿 佞
䠌 踏
䠖 趑
䝉 蒙
䛓 監
䚬 鱗
䕜 翠
䕂 薳
䔧 藜
䒿 膋
䒯 煢
䒇 䒄
䑾 艧
䋆 纑
䇿 策
䇊 竑
䇄 屹
䆮 浸
䄵 犁
䄣 櫝
䄗 裫
䃼 初
䃆 棋
䃃 碙
䂨 斫
䂋 韖
䁀 鼎
䀌 衋
㾴 齇
㽼 癮
㽔 蕤
㻜 瑽
㻛 瑒
㐪 亥
㺶 糾
㺰 瑡
㹨 狖
㹈 犛
㸿 犢
㸆 烤
㷺 燄
㷌 歸
㶸 熁
㶢 光
㶊 頤
䊢 漿
㴟 源
㳟 恭
㲮 毾
㯼 榼
㱓 齡
㱑 歲
㯴 榕
㯨 栗
㮾 桹
㮽 槃
㮤 松
㭧 楠
㭗 鬱
㭅 杉
㬾 翳
㬽 顎
㫾 晌
㫭 時
㫣 黽
㪽 所
嫓 媲
虁 夔
県 縣
聁 盼
穐 秋
齢 齡
鼡 鼠
鼌 晁
鴬 鶯
㧞 拔
㦱 我
蓞 萏
㦠 懟
㥻 慼
㥘 怯
郒 郎
㢱 旀
厼 尒
㢤 哉
㡤 襆
㡍 馬
㠳 幕
㟣 嵩
㟢 崎
嵜 崎
亐 于
亊 事
乕 虎
㞍 尻
鿯 黎
㜀 孀
㛋 奶
㚑 靈
㙖 禹
㗸 銜
㖬 嗖
㕿 和
㕝 叓
㔫 左
㔟 勢
㔈 剕
㓙 凶
㓍 㳘
㒱 夢
㒮 豗
㒢 禴
㑨 侯
卄 廿
籨 籢
䯃 鞍
専 專
鰖 䲊
朜 㬿
儬 㵾
䛵 㖟
䕠 䉬
䏸 䁩
䉹 䉁
䶺 肭
䶸 吆
鿴 鮗
鿸 鿳
䙉 䋸
㪂 㩿
䏵 䑃
㕀 㽕
㔢 㔃
㔑 㓼
䅏 䬿
䊊 䬿
䅱 䭓
㨦 㩳
㫌 旋
苅 刈
煴 熅
䍏 冊
亇 個
㺏 䝏
㣐 變
㣏 靜
㣋 丹
㣉 工
㣃 鬻
龷 廿
㤗 泰
蹾 蹲
䱴 䱎
䶌 皰
䵼 鬺
䵹 鼅
䵸 鼀
䵷 蛙
䵯 畽
䵞 黥
䵛 䵖
䵓 犁
䵑 䵒
䵆 䴿
䶢 䶠
䶦 齰
